Question,Link,Upvotes,Comments,Timestamp,Image,Answer
"What are the most rapidly changing natural landmarks?",https://www.quora.com/What-are-the-most-rapidly-changing-natural-landmarks,3716,64,2y,https://qph.fs.quoracdn.net/main-qimg-997661d8c09f9f5b2ecdea80c3339ad8-lq,"This lake is the fourth-largest lake in the world - it's more of an inland sea, in fact. It spans some 68,000 square kilometres, and its waters are home to nearly 40 different species of fish. On the shore of this lake, there is an enormous fishing industry which employs tens of thousands of people.  ...(more)"
"What country is doing the best to preserve their wildlife?",https://www.quora.com/What-country-is-doing-the-best-to-preserve-their-wildlife,1374,10,2y,https://qph.fs.quoracdn.net/main-qimg-42f4f88a305834b80d18d3dd27264885-lq,"In my opinion, it's Bhutan - a landlocked Buddhist country in the Eastern Himalayas, about the size of Switzerland. Due to its rugged terrain, it has never been colonized in its entire history, and it's also the highest country in the world, with an average elevation of 3,280 metres.  The Bhutanese go...(more)"
"What are some of the most unique winged creatures?",https://www.quora.com/What-are-some-of-the-most-unique-winged-creatures,374,14,2y,https://qph.fs.quoracdn.net/main-qimg-9447510db2e57b32f50d9ba49ff30f76-lq,"Depending on your idea of what is and isn't a wing, I have a candidate which might well qualify. I'm talking about the pteropods, a group of sea snails and sea slugs which swim using 'wings'. There are two main groups of pteropods - those with shells, and those without.  Pteropods with shells are know...(more)"
"What is the highest mountain in the world outside of the Himalayas?",https://www.quora.com/What-is-the-highest-mountain-in-the-world-outside-of-the-Himalayas,931,14,2y,https://qph.fs.quoracdn.net/main-qimg-2e917cb3c72bdb28ec2b5c45860b51a4-lq,"The world's second-highest mountain is K2, which is located in the Karakoram range, not the Himalayas. Its peak stands 8,611 metres above sea level, 237 metres below the summit of Everest, and only 25 metres above the next-highest mountain - Kanchengjunga, of the Himalayas.  By elevation, it's certain...(more)"
"Why are most animals in Africa bigger than their counterparts in Asia?",https://www.quora.com/Why-are-most-animals-in-Africa-bigger-than-their-counterparts-in-Asia,956,44,2y,https://qph.fs.quoracdn.net/main-qimg-7089fc732170f679b831015a465c3562-lq,"It's debatable how much water that statement really holds. I assume you're talking about megafauna specifically, so let's see if it's really true. Biggest land animal - Africa's African savannah elephant (4,900 kg on average) beats Asia's Asian elephant (4,150 kg on average)  Biggest land carnivore - A...(more)"
"What are various types of crocodiles?",https://www.quora.com/What-are-various-types-of-crocodiles,800,43,2y,https://qph.fs.quoracdn.net/main-qimg-e7c854e114cf4048619b1452489ccb29-lq,"Currently, there are sixteen species of crocodile on the planet, on four different continents and falling into some three taxonomic genera. More than half of the world's living crocodylians are crocodiles, with the rest being alligators, caimans, gharials and tomistomas. The largest and most wide-ran...(more)"
"Which is the animal which has an interesting way of mating?",https://www.quora.com/Which-is-the-animal-which-has-an-interesting-way-of-mating,223,16,2y,https://qph.fs.quoracdn.net/main-qimg-0c9884b9bee1719109c5ba5ddd7c438a-lq,"One of the most fascinating spiders in the world (and that's saying something) is Darwin's bark spider, which lives in the humid forests of eastern Madagascar. It wasn't discovered by Charles Darwin (in fact, it was only found in 2009), but was described on the 150th anniversary of the publication o...(more)"
"Which one is the coolest or most interesting island of the world, and why?",https://www.quora.com/Which-one-is-the-coolest-or-most-interesting-island-of-the-world-and-why,765,38,2y,https://qph.fs.quoracdn.net/main-qimg-15e2479adc95ba97ebdd6d943bf3a826-lq,"I think it'd have to be Madagascar. There are definitely other contenders - namely Australia and New Zealand - but considering that the former is generally considered more of a continent than an island, and the latter is not one island but multiple, I'll exclude them.  With an area of over 587,000 squ...(more)"
"All terrestrial animals are wiped out in a future extinction. What marine animals would evolve to repopulate the land in the future?",https://www.quora.com/All-terrestrial-animals-are-wiped-out-in-a-future-extinction-What-marine-animals-would-evolve-to-repopulate-the-land-in-the-future,147,5,2y,https://qph.fs.quoracdn.net/main-qimg-816dfb2c3dd64fcb1c9b15299900899b-lq,"So, going by the parameters you set in your comment, anything which can hold its breath for more than 10 minutes is on the cards as a survivor. The thing is, that still leaves a lot of animals which are comfortable on land. Among them are beavers (they can hold their breath for up to 15 minutes)  Muskr...(more)"
"Of the many members of the family Canidae, why were grey wolves the only species to become domesticated?",https://www.quora.com/Of-the-many-members-of-the-family-Canidae-why-were-grey-wolves-the-only-species-to-become-domesticated,1225,19,2y,https://qph.fs.quoracdn.net/main-qimg-15aa8ccd926ce680538795e13bab1544-lq,"Actually, they weren't. Meet the late Fuegian dog:  Despite its name, this was no dog. Rather, it was a domesticated form of the culpeo, a species of fox which still inhabits much of the Andes mountain range:  Fuegian dogs were kept by the Yaghan people, an ethnic group which are found in the Southern C...(more)"
"What are some interesting rituals of boys initiation into manhood?",https://www.quora.com/What-are-some-interesting-rituals-of-boys-initiation-into-manhood,8141,147,2y,https://qph.fs.quoracdn.net/main-qimg-8dede09a50a832239b93a83462f47787,"One of the most grim and brutal initiation rites in the world is that of the Sateré-Mawé people of Brazil. To become a man and a warrior, a boy must endure hundreds of stings from bullet ants. Bullet ants are the only species in the world with a score of '4-plus' on the Schmidt Sting Pain Index, whic...(more)"
"During the Second World War, did the conflict have any large scale effects on wildlife? Were migration routes changed, did certain animal species become endangered or go extinct?",https://www.quora.com/During-the-Second-World-War-did-the-conflict-have-any-large-scale-effects-on-wildlife-Were-migration-routes-changed-did-certain-animal-species-become-endangered-or-go-extinct,2419,54,2y,https://qph.fs.quoracdn.net/main-qimg-097553c21cb7b9904ada4129256fba39-lq,"This question was actually pretty hard to research, but it's definitely a cool one, so I did some digging and came up with a few relevant tidbits of information. In some cases here, the photos are just for illustrative purposes, they're not directly related to or from the event I describe. * As you wou...(more)"
"Which animal has the weirdest eyes?",https://www.quora.com/Which-animal-has-the-weirdest-eyes,1575,40,2y,https://qph.fs.quoracdn.net/main-qimg-111ccedc1be27b5999ff323f0fa32d7e-pjlq,"If there's one group of animals which can compete with the outright weirdness of mantis shrimps' eyes, it's the chitons. Chitons, or polyplacophores, are sea-dwelling mollusks which essentially resemble armoured slugs. They have a shell composed of eight plates, or valves, and will curl up into a ba...(more)"
"What would a safari through Africa 2.5 million years ago be like?",https://www.quora.com/What-would-a-safari-through-Africa-2-5-million-years-ago-be-like,2549,39,2y,https://qph.fs.quoracdn.net/main-qimg-4e10e2c7e632bf332f0f4cd6b1e221c9-lq,"Vaguely similar, but with more animals, some species you wouldn't find today, and very different people. Some highlights of the extinct wildlife include: * Hippopotamus gorgops, a relative of the common hippopotamus. Weighing a staggering 3.9 tonnes, it was larger than any hippo today - in fact, it was...(more)"
"What was the strangest conflict between humans and animals in history?",https://www.quora.com/What-was-the-strangest-conflict-between-humans-and-animals-in-history,797,22,2y,https://qph.fs.quoracdn.net/main-qimg-5534577dcdd04f11e7992f1c235d42e4-lq,"Everyone knows about the Great Emu War, so I'm going to go for a slightly lesser-known event; the Four Pests Campaign, an effort to prevent famine which ended up causing the largest, deadliest famine in recorded history.  In 1949, the People's Republic of China was founded by Mao Zedong, after a perio...(more)"
"Are there or were there non-human primates in Europe,  North America, or north of Asia?",https://www.quora.com/Are-there-or-were-there-non-human-primates-in-Europe-North-America-or-north-of-Asia,349,14,2y,https://qph.fs.quoracdn.net/main-qimg-d4cdaad88be27d1d4e0145df473fdbf4-lq,"There are still non-human primates in Europe today, although not many of them. On the Rock of Gibraltar, there is a population (of mysterious origins) of Barbary macaques. There are currently around 230 macaques in Gibraltar, and their numbers are actually on the rise. Barbary macaques are also known...(more)"
"Given what's known about the Dune sandworms, how much of their biology is possible?",https://www.quora.com/Given-whats-known-about-the-Dune-sandworms-how-much-of-their-biology-is-possible,2158,87,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-483c3ad657d72906b18aa0dc6c21700e-lq,"When Paul becomes a sandrider, he says the worm he summons 'appeared to be more than half a league long.' Half a league is about 2.8 kilometres! Using the proportions Wikipedia gives for sandworms (400 metres long and 40 wide, or 10:1), this worm would be around 280 metres in diameter.  Sandworms are...(more)"
"Why do many dinosaurs look like someone just pulled some skin over their bones, while mammals today look fluffy and round?",https://www.quora.com/Why-do-many-dinosaurs-look-like-someone-just-pulled-some-skin-over-their-bones-while-mammals-today-look-fluffy-and-round,9701,169,2y,https://qph.fs.quoracdn.net/main-qimg-0f9ab1ccbf191bd1d54262b22e2a455e-lq,"Because artists are reconstructing dinosaurs the wrong way. Many of them, anyway. It is tempting to look at a fossil skeleton, imagine it with some skin on its bones, and call it a day. Indeed, an artist might not want to add too much extra tissue lest they be accused of being too 'speculative'. But...(more)"
"Why do so many mammals have a different texture of skin on their noses, but not humans?",https://www.quora.com/Why-do-so-many-mammals-have-a-different-texture-of-skin-on-their-noses-but-not-humans,3607,59,2y,https://qph.fs.quoracdn.net/main-qimg-599745e6d6fd8d307d76f19d11f5d9dd-lq,"So, you're referring to a structure called the rhinarium, which most mammals have. This furless patch of skin which surrounds the nostrils is usually covered in crenellations, or wrinkles, which probably serve to increase the surface area of the rhinarium's olfactory equipment.  Humans, of course, don...(more)"
"Why are the grasses of the African savanna, and grains like wheat and barley, not green? Where is the chlorophyll that plants need for photosynthesis?",https://www.quora.com/Why-are-the-grasses-of-the-African-savanna-and-grains-like-wheat-and-barley-not-green-Where-is-the-chlorophyll-that-plants-need-for-photosynthesis,88,9,2y,https://qph.fs.quoracdn.net/main-qimg-128700244bb2cad7aa1f91c8ae6fba3e-lq,"In the wild, there are a few usual culprits, such as nitrogen deficiency, lack of nutrients and lack of rainfall. The reason that grasslands exist is because their conditions are too harsh for trees to form forests, but not so harsh that they're deserts. In these trying circumstances, herbaceous plan...(more)"
"Why are there no birds in the new world countries akin to the ostrich or the emu?",https://www.quora.com/Why-are-there-no-birds-in-the-new-world-countries-akin-to-the-ostrich-or-the-emu,344,25,2y,https://qph.fs.quoracdn.net/main-qimg-1865df44c319d5646bb93e5f5c026a48-lq,"There are, as it happens. The order Rheiformes contains two species of ratite which the average layperson probably couldn't distinguish from an emu or ostrich. They are the American rhea and Darwin's rhea.  The former, also known as the greater rhea, is found in eastern South America, whereas the latt...(more)"
"Is there a country where their national animal is extinct or compromised?",https://www.quora.com/Is-there-a-country-where-their-national-animal-is-extinct-or-compromised,4234,46,Updated 1y,https://qph.fs.quoracdn.net/main-qimg-decaae81f3ce14b1a0bea9789ebb1b9b-lq,"Yes, quite a lot actually. The national animal of Iran is the Asiatic lion, which now only exists in the wild in India's Gir Forest. However, earlier this year, the country obtained a pair of lions which will hopefully reproduce and be released into the wild.  Lions of the African variety are the nati...(more)"
"What was the weirdest dinosaur? Why is your choice a contender?",https://www.quora.com/What-was-the-weirdest-dinosaur-Why-is-your-choice-a-contender,361,12,2y,https://qph.fs.quoracdn.net/main-qimg-b41faa6b43ff60d4ba42d35ffa71fbee-pjlq,"Damn, that's going to be hard to choose. Among the extinct, non-avian dinosaurs, I'd say it's between the following three taxa. One, the alvarezsaurids. These were small theropods which evolved 86 million years ago and died out at the end of the Cretaceous. They are bizarre mainly because of their ha...(more)"
"How do I domesticate an eagle?",https://www.quora.com/How-do-I-domesticate-an-eagle,186,6,2y,https://qph.fs.quoracdn.net/main-qimg-6a91be6e764f0f729fb4abb009ea177f-lq,"No eagle has been domesticated - not yet, anyway - because domestication involves a genetic change in the organism, over multiple generations. However, taming an eagle is certainly possible - indeed, this is an integral part of the lives of many.  In the Eurasian steppe, there are two Turkic ethniciti...(more)"
"What sorts of bizarre birds lived in the Pleistocene Caribbean?",https://www.quora.com/What-sorts-of-bizarre-birds-lived-in-the-Pleistocene-Caribbean,200,5,2y,https://qph.fs.quoracdn.net/main-qimg-c2aa617f302888ae465e2291ccf51c5c-lq,"Quite a lot, actually. During the last ice age, sea levels were lower, so some Caribbean islands were significantly bigger - especially Cuba. These larger islands had more resources on them, so could sustain ecosystems of much larger animals. There were many different types of unusual flightless bird...(more)"
"What did the Earth look like when dinosaurs were living?",https://www.quora.com/What-did-the-Earth-look-like-when-dinosaurs-were-living,2225,45,2y,https://qph.fs.quoracdn.net/main-qimg-810b2bd5348102add2f65292daa0b799-lq,"Short answer: Very different. When the last of the non-avian dinosaurs (because I know you don't mean birds) were alive, about 66 million years ago, the Earth looked something like this:  Let's talk general geography first. Australia and Antarctica were connected to each other, whereas the Americas we...(more)"
"How did a population of landlocked seals manage to establish itself in Lake Baikal, of all places, at an altitude of 450 m and several hundred kilometers from the Nearest coastline?",https://www.quora.com/How-did-a-population-of-landlocked-seals-manage-to-establish-itself-in-Lake-Baikal-of-all-places-at-an-altitude-of-450-m-and-several-hundred-kilometers-from-the-Nearest-coastline,1434,30,2y,https://qph.fs.quoracdn.net/main-qimg-beb6842ddfcd5be3e77dd77d268019d7-lq,"That is a good question - as you say, Russia's Lake Baikal is where you'd least expect to find wild marine mammals. The nearest ocean water to the lake is the Sea of Okhotsk, with over 1,500 kilometres of dry land in between. Nevertheless, Lake Baikal is the haunt of the Baikal seal, the world's onl...(more)"
"What's the most amazing place in every country?",https://www.quora.com/Whats-the-most-amazing-place-in-every-country,1286,38,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-44e6c741e7fba1011df92180af74e38f-lq,"My last every-country answer - on each nation's most interesting endemic species - was a labour of research and writing, though it paid off. This one, however, should be less taxing, so let's dive right in. * Afghanistan - Buddhas of Bamyan  * Albania - Gjirokaster  * Algeria - Atakor volcanic field  * Andorra - M...(more)"
"What sort of plants and animals, birds, insects, fish, reptiles, etc. live and thrive in Africa's two alkaline lakes? How do they survive & what would normally kill the other creatures?",https://www.quora.com/What-sort-of-plants-and-animals-birds-insects-fish-reptiles-etc-live-and-thrive-in-Africas-two-alkaline-lakes-How-do-they-survive-what-would-normally-kill-the-other-creatures,500,14,2y,https://qph.fs.quoracdn.net/main-qimg-38e41ab966469f3a44c1bb2f9b8b6e99-lq,"There are actually over 20 soda lakes in Africa, with varying levels of alkalinity. Most of them are found in Kenya, Tanzania and Ethiopia, although you can also find some in Chad, Sudan and Egypt. The stereotypical idea of a soda lake is one akin to Tanzania's Lake Natron.  Due to a high rate of evapo...(more)"
"Paleontology: What are some extinct types of biotopes, biomes or habitats?",https://www.quora.com/Paleontology-What-are-some-extinct-types-of-biotopes-biomes-or-habitats,3427,52,2y,https://qph.fs.quoracdn.net/main-qimg-5c197dbcc1a8d1bb10684e3043f89cd4-lq,"This is an interesting question, as - while everyone knows that there are organisms which have gone extinct - actual landscapes which no longer exist are rarely discussed. Here are some I can think of. * Mammoth steppe: during the last Ice Age, this was Earth's most extensive biome, spanning all the wa...(more)"
"If all paleontologists fought against each other in a Battle Royale armed with the prehistoric creatures they discovered, who would come out on top?",https://www.quora.com/If-all-paleontologists-fought-against-each-other-in-a-Battle-Royale-armed-with-the-prehistoric-creatures-they-discovered-who-would-come-out-on-top,336,8,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-cc87d4a56e5d3fb5cd4e70a7c83877df-lq,"I think the other answerers have misunderstood your question - I'm assuming that each prehistoric creature fights for the paleontologist who discovered it, yes? If that's the case, then Paul Sereno would have a good shot at winning.  He is a prolific discoverer of fossil species, and many of the new c...(more)"
"What animals have unusually-colored blood?",https://www.quora.com/What-animals-have-unusually-colored-blood,1618,23,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-2b2f80b800cd8cbeadc4c225bbdf5cbf-lq,"Interesting question. Let's get started. * Prasinohaema - this is a genus of lizards in the skink family, found in New Guinea and the neighbouring Solomon Islands. Their blood is filled with the pigment biliverdin (the same one which makes bruises greenish), and as a result they bleed green. The chemic...(more)"
"What 5 species should humans choose to keep if all species were to become extinct?",https://www.quora.com/What-5-species-should-humans-choose-to-keep-if-all-species-were-to-become-extinct,2442,50,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-81d4bd8db8cd58742320d44ce4e1f82a-lq,"Well, something on that scale would be an apocalyptic scenario, but it is possible that a remnant of the human race could get by with just five species. Of course, the primary reason we need other organisms is for food. So, how can we minimize the number of food species and still have a healthy popu...(more)"
"Have biologists identified any creature other than humans that engages in existential combat, which could be classified as organized warfare?",https://www.quora.com/Have-biologists-identified-any-creature-other-than-humans-that-engages-in-existential-combat-which-could-be-classified-as-organized-warfare,465,12,2y,https://qph.fs.quoracdn.net/main-qimg-ab87d5a566c7d2f84ceb3bcb54087a45-lq,"The definition of warfare is a bit fuzzy, but there are several types of animal which engage in very war-like behaviour. Spotted hyenas are a good example.  They live in groups called clans, which consist of about 30–100 individuals. Each clan has a territory, which might span as little 40 square kilo...(more)"
"What does Kent Hovind say about dinosaurs? I'll be making a video responding to his claims.",https://www.quora.com/What-does-Kent-Hovind-say-about-dinosaurs-Ill-be-making-a-video-responding-to-his-claims,67,2,2y,https://qph.fs.quoracdn.net/main-qimg-eb6e935b065bc55b964f365c722e50c8-lq,"Mr. Hovind, for those who haven't heard of him, is a prominent proponent of Young Earth Creationism. Let's have a look at what he has to say on dinosaurs... You can buy these at the pet store today, it's called a Jackson chameleon. Got three horns on his face. I bet something similar to that, if you le...(more)"
"Is 'bird of paradise' a particular bird or a species of birds?",https://www.quora.com/Is-bird-of-paradise-a-particular-bird-or-a-species-of-birds,131,4,2y,https://qph.fs.quoracdn.net/main-qimg-ed6d6087c2902353b624e233d6485037-lq,"Actually, it's 42 species of bird, which all belong to the Australasian family Paradisaeidae. Many are both beautiful and absurd...            Like I said... beautiful and absurd. Additionally, there are numerous plant taxa which are referred to as 'birds-of-paradise'....(more)"
"What are some of the most recent animal clades to go extinct?",https://www.quora.com/What-are-some-of-the-most-recent-animal-clades-to-go-extinct,148,7,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-dd6577ea9211f427b557a85b7ef51601-lq,"The Alagoas foliage-gleaner of Brazil hasn't been seen in nearly eight years, so in 2018 researchers recommended that it be officially pronounced extinct. It's a member of the bird family known as ovenbirds, which are so named because they build elaborate clay nests.  Even worse, the Alagoas foliage-g...(more)"
"Why haven't African countries seen more empires than Europe since they are so rich in resources?",https://www.quora.com/Why-havent-African-countries-seen-more-empires-than-Europe-since-they-are-so-rich-in-resources,732,39,2y,https://qph.fs.quoracdn.net/main-qimg-8255e4b22ee29d550f9d13c4a6357965,"Africa actually does have its fair share of great historical civilizations. There's Ancient Egypt, which last 1,500 years without being conquered,  Ancient Carthage, which actually colonized parts of Europe,  The Kingdom of Kush in Nubia,  The Aksumite Empire, located in modern-day Ethiopia, which conquer...(more)"
"What secondary benefits do animal defense mechanisms grant?",https://www.quora.com/What-secondary-benefits-do-animal-defense-mechanisms-grant,5349,31,2y,https://qph.fs.quoracdn.net/main-qimg-e69812229fdcb3efe1baeb71496844ea-lq,"Acacia trees like defense mechanisms so much, they evolved a defense mechanism from a different defense mechanism.  Acacias are covered in thorns, which of course make them difficult for herbivores to eat. Although some animals, such as giraffes, have extra-long tongues and prehensile lips to negotiat...(more)"
"Which animal has a scary sounding name, but is actually super cute?",https://www.quora.com/Which-animal-has-a-scary-sounding-name-but-is-actually-super-cute,357,23,2y,https://qph.fs.quoracdn.net/main-qimg-87a31aa77a1d3f94abafaac494e37f4c-lq,"Well, there are quite a few. The first to come to mind for me is the satanic leaf-tailed gecko, a Madagascan creature which was named on the basis of its bizarre appearance.  Then there's the killdeer, a wading bird found in North America as well as parts of South America. As you can probably tell fro...(more)"
"What is the least celebrated animal that is actually really smart?",https://www.quora.com/What-is-the-least-celebrated-animal-that-is-actually-really-smart,524,27,2y,https://qph.fs.quoracdn.net/main-qimg-6d61a6706a341893f7be495d91f646a3-lq,"From spotted hyenas to sun bears, there are lot of candidates, but I'm going to go with manta rays.  If you were to take a logarithmic graph, and plot every species of animal on it based on their body mass and brain mass, it'd tell you each one's Encephalization Quotient, or EQ. In general, more intel...(more)"
"What is the name of the bipedal dinosaurs with really thick skulls built for ramming?",https://www.quora.com/What-is-the-name-of-the-bipedal-dinosaurs-with-really-thick-skulls-built-for-ramming,190,12,2y,https://qph.fs.quoracdn.net/main-qimg-8cb199419734303764c6f40e3ad9c052-lq,"You're probably thinking of the pachycephalosaurs. This suborder of dinosaurs, closely related to ceratopsians like Triceratops, contained some 16 known species which emerged around 90 million years ago and went extinct at the end of the Mesozoic, roughly 65.5 million years ago.  'Pachycephalosaur' it...(more)"
"Would a T-Rex or Giganotosaurus be able to lift an elephant clenched in its jaws?",https://www.quora.com/Would-a-T-Rex-or-Giganotosaurus-be-able-to-lift-an-elephant-clenched-in-its-jaws,396,20,2y,https://qph.fs.quoracdn.net/main-qimg-4ade6c1fbd3dba2f9a2e9f4e91f4421e-lq,"It depends on exactly what you mean. There are three living species of elephant; from biggest to smallest, they are the African savanna elephant, Asian elephant, and the African forest elephant.  At birth, African forest elephants weigh about 105 kilograms, which a Tyrannosaurus rex or Giganotosaurus...(more)"
"What are some very awesome facts of life?",https://www.quora.com/What-are-some-very-awesome-facts-of-life,4736,62,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-8d4f18c2ee3659b0c46a8e5c087fb3d8-lq,"We are life's 'Plan B' The chances are that practically every life form you've ever seen is multicellular. Every person, dog, reptile, fish, insect, spider, worm, slug, tree, blade of grass, every bird and every lump of mould, each contains countless cells. It's tempting to think that this is the gra...(more)"
"Which are the most interesting birds of prey, and why?",https://www.quora.com/Which-are-the-most-interesting-birds-of-prey-and-why,510,29,2y,https://qph.fs.quoracdn.net/main-qimg-ea57361f51e94e62f09e678e2e375e91-lq,"Nice question, let's get started. * The king vulture is much more colourful than most birds of prey, which makes it immediately recognizable. Its bald neck is orange and pink, with a yellow throat, black head feathers, a red-tipped beak, an orange wattle, a pair of purple wattles, an orange eye-ring, a...(more)"
"What's the weirdest thing ancient zoologists believed about animals?",https://www.quora.com/Whats-the-weirdest-thing-ancient-zoologists-believed-about-animals,1315,49,2y,https://qph.fs.quoracdn.net/main-qimg-aed53d2afe364343684bf4e99fdcd6cb-lq,"André Thevet was an explorer and geographer, born in 1516 in France. He travelled to various parts of the world, most notably Brazil, where he established a colony, but also Africa, the Middle East, Madagascar, the Canaries, Florida, Canada, and the Caribbean. He wrote about the animals, plants and n...(more)"
"What are some examples of bizarre mating rituals in birds?",https://www.quora.com/What-are-some-examples-of-bizarre-mating-rituals-in-birds,946,14,2y,https://qph.fs.quoracdn.net/main-qimg-a2a592f02e4c755bf514a387d75ecb26-lq,"The blue-backed manakin has a fascinating, and indeed counter-intuitive, courtship ritual. In almost all animals, when the male tries to impress the female, he does so competitively. Blue-backed manakins, on the other hand, do this cooperatively.  Several males, which are blue and black with a bright...(more)"
"Which countries have no snakes at all?",https://www.quora.com/Which-countries-have-no-snakes-at-all,1502,75,2y,https://qph.fs.quoracdn.net/main-qimg-59d5fca700f1e9a3f69f5b2460c895a4-pjlq,"Very few, as snakes are a very successful and wide-ranging group of reptiles. In fact, there are only two countries which have no native snake species. They are Ireland and Iceland.  Iceland is over a thousand kilometers from the nearest snake-inhabited land, and is thus far too isolated to be coloniz...(more)"
"What is the first animal in the animal alphabet?",https://www.quora.com/What-is-the-first-animal-in-the-animal-alphabet,355,8,2y,https://qph.fs.quoracdn.net/main-qimg-bf07689cb3d6c9aed28bff4800a7e72e-lq,"I thought about this for a while, and concluded that it must be Aaadonta angaurana. This is a critically endangered species of land snail. The genus Aaadonta is the only animal taxon which has a triple 'A' at the start, and of these A. angaurana is the only one whose specific epithet begins with A t...(more)"
"Why did some animals like sharks, crocodiles, dragonflies, spiders, jellyfish, and cockroaches still look the same for millions of years, but not mammals?",https://www.quora.com/Why-did-some-animals-like-sharks-crocodiles-dragonflies-spiders-jellyfish-and-cockroaches-still-look-the-same-for-millions-of-years-but-not-mammals,594,9,2y,https://qph.fs.quoracdn.net/main-qimg-345ad9df37e9a4eb219c60fc38a93935-pjlq,"You sure about that? This is Juramaia sinensis, which lived 160 million years ago:  And this is a modern tree shrew:  While some mammal lineages have indeed changed a lot since those Jurassic days, others have stayed much the same. That, too, is true for a lot of the 'living fossil' groups you cited in...(more)"
"What is a completely harmless animal that terrifies you?",https://www.quora.com/What-is-a-completely-harmless-animal-that-terrifies-you,5183,121,2y,https://qph.fs.quoracdn.net/main-qimg-10368b7ecd49e4303970ac4b3902a9c3-lq,"Sloths. I am of the perhaps unpopular opinion that sloths, in general, aren't cute at all - rather, they're highly disturbing.  This looks more like a swamp demon than a cute, fuzzy animal. And they do this creepy smile which makes me uncomfortable...    When they get wet, they turn into gaunt, matted creat...(more)"
"What is the cruelest insect in the animal kingdom?",https://www.quora.com/What-is-the-cruelest-insect-in-the-animal-kingdom,3645,129,2y,https://qph.fs.quoracdn.net/main-qimg-618d617bf14af102e9315cf931ca6015-lq,"There are some very nice answers to this questions already, but there's a type of insect which I think deserves inclusion here too - the strepsipterans. Also known as the 'twisted-winged insects', this is an order of parasites which is quite nasty to its hosts, and yet fascinating for so, so much mo...(more)"
"Is it true that people in Africa drink milk after it's spoiled?",https://www.quora.com/Is-it-true-that-people-in-Africa-drink-milk-after-its-spoiled,323,31,2y,https://qph.fs.quoracdn.net/main-qimg-ac3b650f68a33adbc66afe75b7a4e031-lq,"Some do, yes, and the reasons behind it are quite interesting. When milk 'spoils', it essentially ferments. The fermentation process is caused by a group of bacteria known as Lactobacillales, of which there are many species. These bacteria change the lactose in the milk into lactic acid and carbon d...(more)"
"What are the 'Big Five' of safari animals?",https://www.quora.com/What-are-the-Big-Five-of-safari-animals,24,0,2y,https://qph.fs.quoracdn.net/main-qimg-5043b986df4ab57891467fefed0b8b70-lq,"The Big Five most commonly referred to is as follows; the Cape buffalo, lion, African leopard, African elephant, and rhinoceros (black or white). The term was coined back when a 'safari' usually meant a trophy hunting expedition, as they were the most dangerous of the African mammals to hunt.  Nowaday...(more)"
"What places are there in the world where mammals are not the apex predator on land?",https://www.quora.com/What-places-are-there-in-the-world-where-mammals-are-not-the-apex-predator-on-land,234,2,2y,https://qph.fs.quoracdn.net/main-qimg-18a86d2d786f68282ad0328b105d49a1-lq,"Excluding the countless small islands where there are no native mammals, there are a good few places I can think of. Also, I'll be ignoring invasive species, as they really narrow down the list. As you might expect, all of these places are islands. Tasmania  While this island is of course home to Tasma...(more)"
"What are our closest non-primate relatives?",https://www.quora.com/What-are-our-closest-non-primate-relatives,67,3,2y,https://qph.fs.quoracdn.net/main-qimg-2da7f81be1a4915a62fde03248551401-lq,"Among extant animals, they are in fact the colugos, also known misnomerically as flying lemurs.  This is an order - named Dermoptera, meaning 'skin wings' - of gliding mammals only found in Southeast Asia. There are only two extant species, both in a single family - Cynocephalidae, which means 'dog-he...(more)"
"What popular species of animals have weird versions that most people don't know about?",https://www.quora.com/What-popular-species-of-animals-have-weird-versions-that-most-people-dont-know-about,710,13,2y,https://qph.fs.quoracdn.net/main-qimg-26714d2d45b54915567c4605cc1fbeff-lq,"The list is so long that I could be here all day, but here are some notable examples. Also, I don't usually say this, but since this time it's one Mr. Kernan, thanks for the A2A! You've heard of mussels, now get ready for the snuffbox mussel  Epioblasama triqueta, commonly known as the snuffbox mussel,...(more)"
"What are the most interesting endemic species from every country?",https://www.quora.com/unanswered/What-are-the-most-interesting-endemic-species-from-every-country,1158,106,Updated 2y,https://qph.fs.quoracdn.net/main-qimg-c1fcb34756935d01b835d3634f4922c1-lq,"Now this is going to be a long answer, my longest ever surely. Let's blitz through the nations of the world, alphabetically.  Fingers crossed this answer doesn't flop due to its length, I'll try to make it as interesting as I can. We're off to a somewhat dull start with Afghanistan, but things are gon...(more)"
